2014-12-09 23:30:30.814 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 9779, moves: 15 Player 2: searchType: 1, heuristic: 1, searchDepth: 3, average Time: 32154, moves: 15, winner:1
2014-12-09 23:30:35.828 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 8427, moves: 9 Player 2: searchType: 1, heuristic: 1, searchDepth: 4, average Time: 544580, moves: 9, winner:1
2014-12-09 23:31:40.277 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 5186, moves: 16 Player 2: searchType: 1, heuristic: 1, searchDepth: 5, average Time: 4019533, moves: 16, winner:1
2014-12-09 23:31:40.337 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 5097, moves: 6 Player 2: searchType: 1, heuristic: 2, searchDepth: 1, average Time: 91, moves: 6, winner:1
2014-12-09 23:31:40.506 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 5020, moves: 19 Player 2: searchType: 1, heuristic: 2, searchDepth: 2, average Time: 1154, moves: 19, winner:1
2014-12-09 23:31:40.655 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 5231, moves: 6 Player 2: searchType: 1, heuristic: 2, searchDepth: 3, average Time: 12326, moves: 7, winner:2
2014-12-09 23:31:44.277 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 5393, moves: 16 Player 2: searchType: 1, heuristic: 2, searchDepth: 4, average Time: 217799, moves: 16, winner:1
2014-12-09 23:31:52.287 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 4428, moves: 5 Player 2: searchType: 1, heuristic: 2, searchDepth: 5, average Time: 1326382, moves: 6, winner:2
2014-12-09 23:31:52.768 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 27030, moves: 16 Player 2: searchType: 2, heuristic: 0, searchDepth: 1, average Time: 88, moves: 16, winner:1
2014-12-09 23:31:53.092 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 11265, moves: 22 Player 2: searchType: 2, heuristic: 0, searchDepth: 2, average Time: 767, moves: 22, winner:1
2014-12-09 23:31:53.530 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 20310, moves: 13 Player 2: searchType: 2, heuristic: 0, searchDepth: 3, average Time: 9991, moves: 13, winner:1
2014-12-09 23:31:55.240 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 14244, moves: 21 Player 2: searchType: 2, heuristic: 0, searchDepth: 4, average Time: 64396, moves: 21, winner:1
2014-12-09 23:32:47.415 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 15624, moves: 16 Player 2: searchType: 2, heuristic: 0, searchDepth: 5, average Time: 3051255, moves: 17, winner:2
2014-12-09 23:32:47.522 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 8977, moves: 8 Player 2: searchType: 2, heuristic: 1, searchDepth: 1, average Time: 168, moves: 8, winner:1
2014-12-09 23:32:47.651 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 8466, moves: 9 Player 2: searchType: 2, heuristic: 1, searchDepth: 2, average Time: 2155, moves: 9, winner:1
2014-12-09 23:32:48.324 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 9838, moves: 15 Player 2: searchType: 2, heuristic: 1, searchDepth: 3, average Time: 31896, moves: 15, winner:1
2014-12-09 23:32:53.306 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 8488, moves: 9 Player 2: searchType: 2, heuristic: 1, searchDepth: 4, average Time: 540892, moves: 9, winner:1
2014-12-09 23:33:12.988 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 7373, moves: 7 Player 2: searchType: 2, heuristic: 1, searchDepth: 5, average Time: 2449297, moves: 8, winner:2
2014-12-09 23:33:13.051 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 3, average Time: 5277, moves: 6 Player 2: searchType: 2, heuristic: 2, searchDepth: 1, average Time: 103, moves: 6, winner:1
